Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TA,Live animals,234,Uruguay,5908,Export Quantity,976,Sheep,1961,1961,Head,18105,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,976,Sheep,1961,1961,Head,767,*,Unofficial figure
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1016,Goats,1961,1961,Head,,M,Data not available
TA,Live animals,170,Peru,5608,Import Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1016,Goats,1961,1961,Head,4,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,1016,Goats,1961,1961,Head,,M,Data not available
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,1016,Goats,1961,1961,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1016,Goats,1961,1961,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1034,Pigs,1961,1961,Head,682,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1034,Pigs,1961,1961,Head,856,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1034,Pigs,1961,1961,Head,200,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1034,Pigs,1961,1961,Head,,M,Data not available
TA,Live animals,58,Ecuador,5608,Import Quantity,1034,Pigs,1961,1961,Head,0,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,1034,Pigs,1961,1961,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,1034,Pigs,1961,1961,Head,24,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1034,Pigs,1961,1961,Head,17150,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,976,Sheep,1961,1961,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,976,Sheep,1961,1961,Head,102,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,976,Sheep,1961,1961,Head,65112,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,866,Cattle,1962,1962,Head,18000,*,Unofficial figure
TA,Live animals,9,Argentina,5908,Export Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,58,Ecuador,5608,Import Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,44,Colombia,5608,Import Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,170,Peru,5908,Export Quantity,1157,"Camelids, other",1962,1962,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1126,Camels,1962,1962,Head,,M,Data not available
TA,Live animals,21,Brazil,5608,Import Quantity,1126,Camels,1962,1962,Head,,M,Data not available
