accession,,country,date
KX002183,"Foot-and-mouth disease virus - type A isolate A/1514_LPam_HU polyprotein gene, partial cds",Argentina,2001
KX002184,"Foot-and-mouth disease virus - type A isolate A/1893_longMCH polyprotein gene, partial cds",Argentina,2001
KX002185,"Foot-and-mouth disease virus - type A isolate A/2026_Tuc_Tuc polyprotein gene, partial cds",Argentina,2001
KX002186,"Foot-and-mouth disease virus - type A isolate A/2027_Cor_Col polyprotein gene, partial cds",Argentina,2001
KX002187,"Foot-and-mouth disease virus - type A isolate A/2059_BsAs_Hirig polyprotein gene, partial cds",Argentina,2001
KX002188,"Foot-and-mouth disease virus - type A isolate A/2063_Cor_Ccuat polyprotein gene, partial cds",Argentina,2001
KX002189,"Foot-and-mouth disease virus - type A isolate A/2071_LPam_Chali polyprotein gene, partial cds",Argentina,2001
KX002190,"Foot-and-mouth disease virus - type A isolate A/2084_StEst_OjoAgua polyprotein-like gene, partial sequence",Argentina,2001
KX002191,"Foot-and-mouth disease virus - type A isolate A/2107_BsAs_Merced polyprotein gene, partial cds",Argentina,2001
KX002192,"Foot-and-mouth disease virus - type A isolate A/2118_LPam_Lmahu polyprotein gene, partial cds",Argentina,2001
KX002194,"Foot-and-mouth disease virus - type A isolate A/38950_For_Pat polyprotein gene, partial cds",Argentina,2000
KX002195,"Foot-and-mouth disease virus - type A isolate A/39064_SL_Ped polyprotein gene, partial cds",Argentina,2001
KX002196,"Foot-and-mouth disease virus - type A isolate A/39111_Cor_Gpaz polyprotein gene, partial cds",Argentina,2001
KX002203,"Foot-and-mouth disease virus - type A isolate A/AAreco01 polyprotein gene, partial cds",Argentina,2001
KX002204,"Foot-and-mouth disease virus - type A isolate A/AGLopez01 polyprotein gene, partial cds",Argentina,2001
KF112899,"Foot-and-mouth disease virus - type A isolate A/Alem/ARG/81 capsid protein gene, partial cds",Argentina,1981
JQ082979,"Foot-and-mouth disease virus - type A isolate A/Antioquia/Col/97 VP1 gene, partial cds",Colombia,1997
JQ082948,"Foot-and-mouth disease virus - type A isolate A/Apure/Ven/04 VP1 gene, partial cds",Venezuela,2004
JQ082949,"Foot-and-mouth disease virus - type A isolate A/Apure/Ven/05 VP1 gene, partial cds",Venezuela,2005
JQ082953,"Foot-and-mouth disease virus - type A isolate A/Apure/Ven/06 VP1 gene, partial cds",Venezuela,2006
JQ082906,"Foot-and-mouth disease virus - type A isolate A/Argentina/00 VP1 gene, partial cds",Argentina,2000
KX002205,"Foot-and-mouth disease virus - type A isolate A/ATLauquen01 polyprotein gene, partial cds",Argentina,2001
JQ082936,"Foot-and-mouth disease virus - type A isolate A/Barinas/Ven/03 VP1 gene, partial cds",Venezuela,2003
JQ082941,"Foot-and-mouth disease virus - type A isolate A/Barinas/Ven/04(a) VP1 gene, partial cds",Venezuela,2004
JQ082946,"Foot-and-mouth disease virus - type A isolate A/Barinas/Ven/04(b) VP1 gene, partial cds",Venezuela,2004
KU234721,"Foot-and-mouth disease virus - type A isolate A/Barinas/Ven/13a VP1 gene, partial cds",Venezuela,2013
JQ082921,"Foot-and-mouth disease virus - type A isolate A/Beni/Bol/02 VP1 gene, partial cds",Bolivia,2002
JQ082933,"Foot-and-mouth disease virus - type A isolate A/Bolivar/Ven/01 VP1 gene, partial cds",Venezuela,2001
JQ082935,"Foot-and-mouth disease virus - type A isolate A/Bolivar/Ven/03 VP1 gene, partial cds",Venezuela,2003
JQ082908,"Foot-and-mouth disease virus - type A isolate A/Chapaleufu/LaPampa/Arg/01 VP1 gene, partial cds",Argentina,2001
JQ082918,"Foot-and-mouth disease virus - type A isolate A/Cochabamba/Bol/01 VP1 gene, partial cds",Bolivia,2001
JQ082976,"Foot-and-mouth disease virus - type A isolate A/Colombia/84 VP1 gene, partial cds",Colombia,1984
JQ082911,"Foot-and-mouth disease virus - type A isolate A/Colonia/Uru/01 VP1 gene, partial cds",Uruguay,2001
JQ082980,"Foot-and-mouth disease virus - type A isolate A/Cordoba/Col/97 VP1 gene, partial cds",Colombia,1997
JQ082981,"Foot-and-mouth disease virus - type A isolate A/Cundinamarca/Col/97 VP1 gene, partial cds",Colombia,1997
JQ082929,"Foot-and-mouth disease virus - type A isolate A/Ecuador/02 VP1 gene, partial cds",Ecuador,2002
JQ082967,"Foot-and-mouth disease virus - type A isolate A/Ecuador/75 VP1 gene, partial cds",Ecuador,1975
JQ082973,"Foot-and-mouth disease virus - type A isolate A/Ecuador/79 VP1 gene, partial cds",Ecuador,1979
JQ082945,"Foot-and-mouth disease virus - type A isolate A/Falcon/Ven/04 VP1 gene, partial cds",Venezuela,2004
JQ082934,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/02 VP1 gene, partial cds",Venezuela,2002
JQ082937,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/03(a) VP1 gene, partial cds",Venezuela,2003
JQ082938,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/03(b) VP1 gene, partial cds",Venezuela,2003
JQ082943,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/04 VP1 gene, partial cds",Venezuela,2004
JQ082950,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/05(a) VP1 gene, partial cds",Venezuela,2005
JQ082951,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/05(b) VP1 gene, partial cds",Venezuela,2005
JQ082952,"Foot-and-mouth disease virus - type A isolate A/Merida/Ven/05(c) VP1 gene, partial cds",Venezuela,2005
JQ082923,"Foot-and-mouth disease virus - type A isolate A/N.de Santander/Col/08(a) VP1 gene, partial cds",Colombia,2008
JQ082924,"Foot-and-mouth disease virus - type A isolate A/N.de Santander/Col/08(b) VP1 gene, partial cds",Colombia,2008
JQ082925,"Foot-and-mouth disease virus - type A isolate A/N.de Santander/Col/08(c) VP1 gene, partial cds",Colombia,2008
JQ082926,"Foot-and-mouth disease virus - type A isolate A/N.de Santander/Col/08(d) VP1 gene, partial cds",Colombia,2008
JQ082927,"Foot-and-mouth disease virus - type A isolate A/N.de Santander/Col/08(e) VP1 gene, partial cds",Colombia,2008
JQ082928,"Foot-and-mouth disease virus - type A isolate A/N.de Santander/Col/08(f) VP1 gene, partial cds",Colombia,2008
JQ082919,"Foot-and-mouth disease virus - type A isolate A/Oruro/Bol/01 VP1 gene, partial cds",Bolivia,2001
JQ082930,"Foot-and-mouth disease virus - type A isolate A/Peru/00 VP1 gene, partial cds",Peru,2000
JQ082931,"Foot-and-mouth disease virus - type A isolate A/Peru/99 VP1 gene, partial cds",Peru,1999
JQ082954,"Foot-and-mouth disease virus - type A isolate A/Portuguesa/Ven/07 VP1 gene, partial cds",Venezuela,2007
JQ082920,"Foot-and-mouth disease virus - type A isolate A/Potosi/Bol/01 VP1 gene, partial cds",Bolivia,2001
JQ082907,"Foot-and-mouth disease virus - type A isolate A/Rivadavia/BsAs/Arg/01 VP1 gene, partial cds",Argentina,2001
JQ082974,"Foot-and-mouth disease virus - type A isolate A/RS/Bra/81 VP1 gene, partial cds",Brazil,1981
JQ082982,"Foot-and-mouth disease virus - type A isolate A/RS/Bra/97 VP1 gene, partial cds",Brazil,1997
JQ082912,"Foot-and-mouth disease virus - type A isolate A/S.doLivramento/RS/Bra/01(a) VP1 gene, partial cds",Brazil,2001
JQ082913,"Foot-and-mouth disease virus - type A isolate A/S.doLivramento/RS/Bra/01(b) VP1 gene, partial cds",Brazil,2001
JQ082914,"Foot-and-mouth disease virus - type A isolate A/S.doLivramento/RS/Bra/01(c) VP1 gene, partial cds",Brazil,2001
JQ082977,"Foot-and-mouth disease virus - type A isolate A/Sabana/Col/85 VP1 gene, partial cds",Colombia,1985
JQ082968,"Foot-and-mouth disease virus - type A isolate A/San Martin/Per/75 VP1 gene, partial cds",Peru,1975
JQ082975,"Foot-and-mouth disease virus - type A isolate A/SaoCarlos/Bra/84 VP1 gene, partial cds",Brazil,1984
JQ082915,"Foot-and-mouth disease virus - type A isolate A/Sta_Cruz/Bol/00 VP1 gene, partial cds",Bolivia,2000
JQ082916,"Foot-and-mouth disease virus - type A isolate A/Sta.Cruz/Bol/01(a) VP1 gene, partial cds",Bolivia,2001
JQ082917,"Foot-and-mouth disease virus - type A isolate A/Sta.Cruz/Bol/01(b) VP1 gene, partial cds",Bolivia,2001
JQ082909,"Foot-and-mouth disease virus - type A isolate A/T.Lauquen/BsAs/Arg/01 VP1 gene, partial cds",Argentina,2001
JQ082932,"Foot-and-mouth disease virus - type A isolate A/Tachira/Ven/01 VP1 gene, partial cds",Venezuela,2001
JQ082939,"Foot-and-mouth disease virus - type A isolate A/Tachira/Ven/04(a) VP1 gene, partial cds",Venezuela,2004
JQ082940,"Foot-and-mouth disease virus - type A isolate A/Tachira/Ven/04(b) VP1 gene, partial cds",Venezuela,2004
JQ082942,"Foot-and-mouth disease virus - type A isolate A/Tachira/Ven/04(c) VP1 gene, partial cds",Venezuela,2004
JQ082947,"Foot-and-mouth disease virus - type A isolate A/Tachira/Ven/04(d) VP1 gene, partial cds",Venezuela,2004
JQ082922,"Foot-and-mouth disease virus - type A isolate A/Tibu/N. de Santander/Col/04 VP1 gene, partial cds",Colombia,2004
JQ082910,"Foot-and-mouth disease virus - type A isolate A/Treita_y_Tres/Uru/01 VP1 gene, partial cds",Uruguay,2001
JQ082978,"Foot-and-mouth disease virus - type A isolate A/Venezuela/89 VP1 gene, partial cds",Venezuela,1989
JQ082944,"Foot-and-mouth disease virus - type A isolate A/Yaracuy/Ven/04 VP1 gene, partial cds",Venezuela,2004
AM179997,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate 3Lomas00",Argentina,2000
AM180015,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate 3Lomas01",Argentina,2001
AM180020,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate 9Julio01",Argentina,2001
AM179990,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate 9Julio800",Argentina,2000
AM179995,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate 9Julio900",Argentina,2000
AM180006,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Atreuco01",Argentina,2001
AM179993,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Chapaleufu00",Argentina,2000
AM180001,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Chapaleufu01",Argentina,2001
AM180009,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Chivilcoy01",Argentina,2001
AM179998,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate CPellegrini00",Argentina,2000
AM179988,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Craik00",Argentina,2000
AM180014,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate CSuarez01",Argentina,2001
AM179996,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate CTejedor00",Argentina,2000
AM180019,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Daireaux501",Argentina,2001
AM180011,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Diamante01",Argentina,2001
AM180010,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Diareaux401",Argentina,2001
AM180003,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Dupuy01",Argentina,2001
AM180021,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate GAlvear01",Argentina,2001
AM180004,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate GLopez01",Argentina,2001
AM180016,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Guatreche01",Argentina,2001
AM179989,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate GVillegas00A",Argentina,2000
AM179992,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate GVillegas00B",Argentina,2000
AM180017,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate JuninI01",Argentina,2001
AM180018,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate JuninII01",Argentina,2001
AM180007,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Lobos01",Argentina,2001
AM179999,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Maraco00",Argentina,2000
AM180022,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Mercedes01",Argentina,2001
AM180024,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate RCuarto02",Argentina,2002
AM180000,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate Rivadavia01",Argentina,2001
AM179991,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate RSegundo00",Argentina,2000
AM180005,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate SAAreco01",Argentina,2001
AM179994,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate SJusto00",Argentina,2000
AM180008,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate TLauquen301",Argentina,2001
AM180012,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate TLauquen401A",Argentina,2001
AM180013,"Foot-and-mouth disease virus - type A partial gene for polyprotein, VP1 region, isolate TLauquen401B",Argentina,2001
AM180002,,Argentina,2001
