accession,,country,date
APHA79,"Foot and mouth disease virus (serotype Aarg79), capsid protein VP1 mRNA",Argentina,1979
APHA76,"Foot and mouth disease virus (serotype Aven76), capsid protein VP1 mRNA",Venezuela,1976
AJ306220,"Foot-and-mouth disease virus A 1D gene for VP1 protein, strain A 25 de Mayo/Arg/87, genomic RNA",Argentina,1987
AJ306219,"Foot-and-mouth disease virus A 1D gene for VP1 protein, strain A Alem/Arg/81, genomic RNA",Argentina,1981
AJ306222,"Foot-and-mouth disease virus A 1D gene for VP1 protein, strain A Castellanos/Arg/87, genomic RNA",Argentina,1987
AJ306221,"Foot-and-mouth disease virus A 1D gene for VP1 protein, strain A Utracan/Arg/87, genomic RNA",Argentina,1987
AJ251476,"Foot-and-mouth disease virus A gene for L, VP4, VP2, VP3, VP1, 2A, 2B coding polyprotein, strain A24/Cruzeiro/Brazil/55",Brazil,1955
AY593753,"Foot-and-mouth disease virus A isolate a13brazil iso75, complete genome",Brazil,1970
AY593756,"Foot-and-mouth disease virus A isolate a16belem iso80, complete genome",Brazil,1959
AY593757,"Foot-and-mouth disease virus A isolate a17 Aguarulbos iso83, complete genome",Brazil,1967
AY593758,"Foot-and-mouth disease virus A isolate a18zulia iso40, complete genome",Venezuela,1967
AY593767,"Foot-and-mouth disease virus A isolate a24 argentina iso9, complete genome",Argentina,1965
AY593768,"Foot-and-mouth disease virus A isolate a24cruzeiro iso71, complete genome",Brazil,1955
AY593769,"Foot-and-mouth disease virus A isolate a25 argentina iso38, complete genome",Argentina,1959
AY593770,"Foot-and-mouth disease virus A isolate a26arg iso74, complete genome",Argentina,1966
AY593771,"Foot-and-mouth disease virus A isolate a27columbia iso78, complete genome",Colombia,1967
AY593773,"Foot-and-mouth disease virus A isolate a29peru iso37, complete genome",Peru,1969
AY593801,"Foot-and-mouth disease virus A isolate A30 Uruguay/68 iso90, complete genome",Uruguay,2001
AY593775,"Foot-and-mouth disease virus A isolate a32ven iso36, complete genome",Venezuela,1970
AY593783,"Foot-and-mouth disease virus A isolate aarg2001 iso93, complete genome",Argentina,2001
AY593782,"Foot-and-mouth disease virus A isolate a argentina 2000 iso104, complete genome",Argentina,2000
AY593784,"Foot-and-mouth disease virus A isolate aargp55 iso99, complete genome",Argentina,2001
AY593785,"Foot-and-mouth disease virus A isolate aargp64 iso100, complete genome",Argentina,2001
AY593786,"Foot-and-mouth disease virus A isolate aarg Trenquelauquen iso103, complete genome",Argentina,2001
AY593787,"Foot-and-mouth disease virus A isolate abage iso63, complete genome",Brazil,1977
AY593788,"Foot-and-mouth disease virus A isolate abrazil iso67, complete genome",Brazil,1979
AY593789,"Foot-and-mouth disease virus A isolate acanefa iso48, complete genome",Argentina,1961
AY593790,"Foot-and-mouth disease virus A isolate a general lopez iso102, complete genome",Argentina,2001
AY593794,"Foot-and-mouth disease virus A isolate asabana iso68, complete genome",Colombia,1985
AY593802,"Foot-and-mouth disease virus A isolate A uruguay 2001 iso98, complete genome",Uruguay,2001
AY593803,"Foot-and-mouth disease virus A isolate avenceslau iso70, complete genome",Brazil,1976
AJ409219,"Foot-and-mouth disease virus A mRNA for VP1 protein (1D gene), strain A76/Argentina/76",Argentina,1976
AJ308695,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A24/Bahia Blanca/Arg/71",Argentina,1971
AJ308697,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A24/Cordoba/Arg/90",Argentina,1990
AJ308694,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/Arg/68",Argentina,1968
AJ308696,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/Ayacucho/Arg/90",Argentina,1990
AJ308700,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/Cordoba/Arg/92",Argentina,1992
AJ308701,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/Corrrientes/Arg/92",Argentina,1992
AJ308702,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/Pehuajo/Arg/92",Argentina,1992
AJ308699,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/Rivadavia/Arg/91",Argentina,1991
AJ308698,"Foot-and-mouth disease virus A partial 1D gene for VP1 protein, genomic RNA, strain A/San Ignacio/Arg/90",Argentina,1990
JQ082955,"Foot-and-mouth disease virus - type A isolate A13/Brasil/58 VP1 gene, partial cds",Brazil,1958
EU553876,"Foot-and-mouth disease virus - type A isolate A14/Bandujo/SPA/1/59 VP1 protein (1D) gene, partial cds",Spain,1959
JQ082956,"Foot-and-mouth disease virus - type A isolate A16/Belem/Bra/59 VP1 gene, partial cds",Brazil,1959
JQ082957,"Foot-and-mouth disease virus - type A isolate A17/Guarulhos/Bra/59 VP1 gene, partial cds",Brazil,1959
JQ082958,"Foot-and-mouth disease virus - type A isolate A18/Zulia/Ven/62 VP1 gene, partial cds",Venezuela,1962
JQ082959,"Foot-and-mouth disease virus - type A isolate A19/Suipacha/Arg/62 VP1 gene, partial cds",Argentina,1962
JQ082966,"Foot-and-mouth disease virus - type A isolate A24/Bra/70 VP1 gene, partial cds",Brazil,1970
JQ082960,"Foot-and-mouth disease virus - type A isolate A24/Cruzeiro/Bra/55-PANAFTOSA VP1 gene, partial cds",Brazil,1955
JQ082961,"Foot-and-mouth disease virus - type A isolate A25/Argentina/59 VP1 gene, partial cds",Argentina,1959
JQ082962,"Foot-and-mouth disease virus - type A isolate A26/Argentina/66 VP1 gene, partial cds",Argentina,1966
JQ082963,"Foot-and-mouth disease virus - type A isolate A27/Colombia/67 VP1 gene, partial cds",Colombia,1967
JQ082972,"Foot-and-mouth disease virus - type A isolate A27/Cundinamarca/Col/76 VP1 gene, partial cds",Colombia,1976
JQ082964,"Foot-and-mouth disease virus - type A isolate A29/Peru/69 VP1 gene, partial cds",Peru,1969
JQ082965,"Foot-and-mouth disease virus - type A isolate A32/Venezuela/70 VP1 gene, partial cds",Venezuela,1970
JQ082969,"Foot-and-mouth disease virus - type A isolate A79/Bage/Bra/76 VP1 gene, partial cds",Brazil,1976
JQ082970,"Foot-and-mouth disease virus - type A isolate A79/Cacapava/Bra/76 VP1 gene, partial cds",Brazil,1976
EU553851,"Foot-and-mouth disease virus - type A isolate A79/Cacapava/BRA/76 VP1 protein (1D) gene, partial cds",Brazil,1976
JQ082971,"Foot-and-mouth disease virus - type A isolate A79/Pedregulho/Bra/76 VP1 gene, partial cds",Brazil,1976
KX002178,"Foot-and-mouth disease virus - type A isolate A/129_LPam_Capital polyprotein gene, partial cds",Argentina,1976
KX002193,"Foot-and-mouth disease virus - type A isolate A/258_ER_Diamante polyprotein gene, partial cds",Argentina,2001
KX002197,"Foot-and-mouth disease virus - type A isolate A/423_Cor_Union polyprotein-like gene, partial sequence",Argentina,2001
KX002198,"Foot-and-mouth disease virus - type A isolate A/467_SFe_Irio polyprotein gene, partial cds",Argentina,2001
KX002199,"Foot-and-mouth disease virus - type A isolate A/548_LP_Guatrech polyprotein-like gene, partial sequence",Argentina,2001
KX002200,"Foot-and-mouth disease virus - type A isolate A/820_Cor_Groca polyprotein gene, partial cds",Argentina,2001
KX002201,"Foot-and-mouth disease virus - type A isolate A/915_SEst_Riv polyprotein gene, partial cds",Argentina,2001
KX002202,"Foot-and-mouth disease virus - type A isolate A/973_SL_Pede polyprotein gene, partial cds",Argentina,2001
KX002176,"Foot-and-mouth disease virus - type A isolate A/1155_BsAs_MCh polyprotein gene, partial cds",Argentina,2001
KX002177,"Foot-and-mouth disease virus - type A isolate A/1185_ER_Par polyprotein-like gene, partial sequence",Argentina,2001
KX002179,"Foot-and-mouth disease virus - type A isolate A/1293_BsAs_Indio polyprotein-like gene, partial sequence",Argentina,2001
KX002180,"Foot-and-mouth disease virus - type A isolate A/1300_BS_As_Gguido polyprotein gene, partial cds",Argentina,2001
KX002181,"Foot-and-mouth disease virus - type A isolate A/1441_BsAs_Lflores polyprotein gene, partial cds",Argentina,2001
KX002182,"Foot-and-mouth disease virus - type A isolate A/1452_longMCH polyprotein gene, partial cds",Argentina,2001
