sheepTrade_1986.1995,Argentina,Bolivia,Brazil,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela
Argentina,1,1,1,2459,1,1,7,18130,1
Bolivia,816,1,1,1,1,1,231,467,1
Brazil,1030,1,1,1,1,1,1,355924,1
Colombia,1,1,1,1,1,1,1,1,1
Ecuador,1,1,1,201,1,1,1,1,1
Paraguay,1361,1,834,1,1,1,1,6859,1
Peru,131,1,1212,1,1,1,1,11844,1
Uruguay,324,1,177,1,1,1,1,1,1
Venezuela,1,1,1,210,1,1,1,1,1
