cattleTrade_1995.2004,Argentina,Bolivia,Brazil,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela
Argentina,1,1,1075,1,1,2067,1,81361,1
Bolivia,64079,1,10349,1,1,16001,14,346,1
Brazil,21424,13324,1,40,1,204841,1,134991,1
Colombia,1,1,5717,1,2301,1,1,1,38656
Ecuador,1,181,194,115,1,1,1,896,1
Paraguay,18919878,1,1167427,1,1,1,1,457662,1
Peru,201,1285,858,15,6521,1,1,4328,1
Uruguay,1,1,228,1,1,1,1,1,1
Venezuela,1,1,3957,426712,1,1,1,1,1
