"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,37,44,93,284,0,54,128,68,26
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",72,19,0,15,17,0,4,0,32,8
"Chile",9,8,10,0,4,9,0,14,0,5
"Colombia",5,4,16,0,2,17,0,0,0,442
"Ecuador",0,0,0,0,0,0,0,48,0,0
"Paraguay",7,0,0,0,0,0,0,0,0,0
"Peru",0,10,0,17,0,78,0,0,0,7
"Uruguay",4115,0,25,3,0,0,77,0,0,3
"Venezuela (Bolivarian Republic of)",0,0,0,0,1579,0,0,0,0,0
