"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,0,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",539,63,0,0,0,0,0,0,0,0
"Chile",851,200,0,0,0,1063,0,0,0,631
"Colombia",0,0,0,0,0,0,0,0,0,614
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,672,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
