"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,33,0,0,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,215,0,0,0
"Chile",1820,60,0,0,47,60,0,0,0,0
"Colombia",0,0,0,0,1383,7285,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,1382,0,0,0,0,0
