"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",11,0,134,152,204,85,129,59,48,29
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",26,0,34,12,0,0,30,0,3015,0
"Chile",66,0,90,0,15,19,0,12,5,0
"Colombia",1,0,0,0,0,12,0,3,0,0
"Ecuador",0,0,0,0,2,0,0,5,0,0
"Paraguay",5,0,0,0,0,0,0,0,0,0
"Peru",42,0,0,4,0,52,0,0,0,0
"Uruguay",102,0,106,0,1,0,27,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,6,22,0,0,0,0
