"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,139,17,0,0,0,170,0,30,2094
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,18,0,0,0,0,414,0,0,393490
"Chile",185,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,219,0,258316
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",151,1905,1358,0,0,0,280,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
