"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,30471,5563,0,0,0,16649607,0,0,0
"Bolivia (Plurinational State of)",0,0,2300,0,0,0,0,0,0,0
"Brazil",0,163,0,0,1860,101,1149870,0,0,0
"Chile",2144,0,73,0,0,0,578,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,18700
"Ecuador",0,0,0,0,484,0,0,2246,0,0
"Paraguay",729,70,59047,0,0,0,0,0,0,0
"Peru",0,1,0,0,0,0,0,0,0,0
"Uruguay",7880,11,29747,0,0,0,434799,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,4450,0,0,0,0,0
