"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,0,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,3101,0,0,0,0,0,0,0
"Brazil",0,96,0,0,755,0,1,0,10,10
"Chile",0,0,0,0,0,0,0,2280,0,0
"Colombia",0,0,0,0,0,0,0,0,0,161
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,38428,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",4,0,0,0,0,0,0,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
