"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,35,0,0,0,0,471,0,0,1492
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,792,0,0,0,0,115,0,0,247299
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,24,0,0,0,140511
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,167,0,0,0,0,0,0,0
"Peru",0,2,0,0,0,0,0,0,0,0
"Uruguay",0,0,9987,0,0,0,0,1593,330,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
