"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,0,0,0,151,0,11,875
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,6,0,0,0,0,1595,0,0,17
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,49,0,28,0,136045
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",178,0,1159,0,0,0,0,1415,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
