"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,146,1716,0,0,0,95,0,50,0
"Bolivia (Plurinational State of)",0,0,191339,0,0,0,0,0,0,0
"Brazil",99,268,0,0,0,30,0,466,11,0
"Chile",0,259,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,56,0,820
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",6,203,28852,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",28,252,18247,0,0,0,131,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
