"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,18214,7330,0,0,0,125141,200,0,0
"Bolivia (Plurinational State of)",0,0,1996,0,0,0,0,0,0,0
"Brazil",0,70,0,0,617,92,8884,857,0,0
"Chile",594,18,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,2777
"Ecuador",0,0,0,0,533,0,0,3835,0,0
"Paraguay",31,28,27352,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",5,141,53490,0,0,0,1415,13,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,33941,0,0,0,0,0
