"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",10,13,151,79,23,39,98,156,114,56
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",51,0,0,1,0,4,14,0,326,20
"Chile",25,2,1,0,0,0,5,25,0,0
"Colombia",0,0,0,1,2,26,0,0,0,9
"Ecuador",0,0,0,0,0,0,0,21,0,9
"Paraguay",3,0,10,0,0,0,0,0,0,0
"Peru",18,9,0,4,0,18,0,0,1,0
"Uruguay",2400,0,14,9,0,0,5,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,1,0,0,0,0,0
