"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",14,2,95,111,148,39,359,61,50,42
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",17,0,15,3,0,0,14,0,455,0
"Chile",41,0,117,1,7,7,0,20,0,3
"Colombia",0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,139,0,0
"Paraguay",4,0,0,0,0,0,0,0,0,0
"Peru",16,0,0,25,7,63,0,0,0,0
"Uruguay",16,0,65,0,0,0,112,0,3,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
