"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,20,0,0,0,504,585,10,0
"Bolivia (Plurinational State of)",0,0,26456,0,0,0,0,0,0,0
"Brazil",2,128,0,0,0,0,34,0,0,0
"Chile",0,0,0,0,252,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,18,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",12,0,1395,0,0,0,0,0,15,0
"Peru",0,3,0,0,0,0,0,0,0,0
"Uruguay",24,665,187,0,0,0,568,168,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
