"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,455,94,0,0,0,34,710,23,0
"Bolivia (Plurinational State of)",0,0,16550,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,1450,15,0
"Chile",0,0,0,0,75,0,0,230,0,0
"Colombia",0,0,0,0,0,6,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,3483,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",23,322,502,0,0,0,308,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
