"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,109,403,0,0,0,6,323,24,0
"Bolivia (Plurinational State of)",0,0,26315,0,0,0,0,0,0,0
"Brazil",2,977,0,0,0,60,0,928,28,0
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,4,0,20
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,42,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",1118,166,117442,0,0,0,331,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
