"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",5,4,78,169,145,31,51,338,104,70
"Bolivia (Plurinational State of)",0,3,0,0,0,0,0,0,0,0
"Brazil",50,0,3,4,0,0,28,0,563,0
"Chile",22,0,2,0,6,10,0,1,0,5
"Colombia",0,0,0,0,22,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,3,0,0,0,0,0,0,0
"Peru",6,0,0,5,31,34,0,0,1,0
"Uruguay",33,0,56,7,0,0,155,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
