"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,79,230,209,186,89,99,52,158,41
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",40,7,0,4,0,0,16,0,33,0
"Chile",38,1,8,0,26,13,0,9,1,0
"Colombia",0,0,3,0,0,64,0,0,0,25
"Ecuador",0,0,0,0,0,0,0,1160,0,0
"Paraguay",28,0,0,0,0,0,0,0,6,0
"Peru",28,9,0,0,6,61,0,0,0,0
"Uruguay",2469,0,20,7,0,0,10,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,60,0,0,0,0,0
