"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,5443,2624,0,0,0,804,0,720,0
"Bolivia (Plurinational State of)",0,0,1500,0,0,0,0,0,0,0
"Brazil",2046,121,0,0,0,0,11,15,66,0
"Chile",609,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,42,0,0,0,0,55298
"Ecuador",0,0,0,0,767,0,0,286,0,0
"Paraguay",140,336,10011,0,0,0,0,0,12,0
"Peru",0,6,0,0,0,17,0,16,0,0
"Uruguay",212420,68,7437,0,0,0,1047,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,26,0,0,0,0,0
