"strict","cattleTrade_1986.1995","cattleTrade_1995.2004","cattleTrade_2004.2013","sheepTrade_1986.1995","sheepTrade_1995.2004","sheepTrade_2004.2013","pigsTrade_1986.1995","pigsTrade_1995.2004","pigsTrade_2004.2013","geodistance","borders","sequenceDiffs"
1.292,0.987031617711507,0.900037469643177,0.722382530323935,0.812112114806292,0.643226658207221,-0.208589142815164,0.649576842266984,1.07326317372939,0.788307383935518,0.145548258175267,1,-0.108677417433584
3.625,1.06359034470905,0.776001741981412,0.587536501769498,0.848979728892793,-0.210622710800652,0.821869183798394,0.40403726418956,-0.225817845621666,-0.228288165554141,0.222808795042902,0,0.0241505372074632
1.417,-0.350640108075753,-0.352979511164411,0.556998728413297,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.306629847927404,0,0.144903223244779
0.634,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.285246067769667,0,0.857344070864942
1.533,1.23803713620205,1.54397108003599,1.00922487480202,0.893091259108755,-0.0239046139885991,1.14591072395581,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.0767274064746016,1,-0.2294301034709
0.625,0.571990570641822,0.24741875134995,-0.27015708203955,0.522550299124601,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.227857352097045,0,-0.217354834867168
1.801,0.54546577709434,-0.352979511164411,0.32393440821012,0.66589665724244,0.694893191895766,0.449720409784466,0.424105189275239,1.04829872585494,0.667773162445552,-0.0311215992665949,1,-0.265655909282095
1.479,-0.350640108075753,-0.352979511164411,0.991996436380627,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.319556896623848,0,-0.217354834867168
1.112,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.145548258175267,1,0.108677417433584
0.879,1.16965359256965,0.722232238086839,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.0658801738733859,0,0.132827954641047
0.812,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.184418200464891,0,0.253580640678363
0.739,-0.350640108075753,0.235553231977519,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.166564995131379,0,0.966021488298527
1.458,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,-0.0103721786376855,1,-0.120752686037316
0.773,-0.350640108075753,0.457450860215884,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.056750164732912,1,-0.108677417433584
0.758,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.138497082499027,0,-0.156978491848511
0.806,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.199458585347312,0,-0.108677417433584
1.146,0.614343978201506,0.437249513865446,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,1.37193171173317,1.09473692967012,1.45791007546956,0.222808795042902,0,-0.0241505372074632
1.68,0.632894849982004,0.693626142717241,0.853138450064475,-0.249184800756967,0.626804141322117,-0.208589142815164,0.662717854037869,0.840485854482184,1.22775408559454,0.0658801738733859,0,-0.132827954641047
0.885,0.416737071338458,0.62644091086692,-0.27015708203955,-0.249184800756967,0.024989294817268,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.206714651979957,1,0.120752686037316
0.748,0.295586702297805,0.243405750612149,0.333113180194649,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.223755369934073,0,0.833193533657479
0.975,0.263472186678179,1.22862887100009,0.889477959269948,0.81556603135656,1.41918429216771,0.715989219821796,1.02863103795144,0.911942040289003,1.22522597195468,0.0779129824047359,0,-0.253580640678363
0.766,0.69967954639058,0.41172337422733,-0.27015708203955,0.874736922067296,1.05744607688713,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.172298383672521,0,-0.241505372074632
0.793,0.33056626590274,0.2616880854998,-0.16998547496349,0.570190532393009,0.55603456286273,-0.208589142815164,1.08402236077237,0.659165417578348,0.753087592685687,0.183176935677122,0,-0.289806446489558
0.929,0.0346991216418474,0.584783611192981,1.88970951141676,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.183861770964259,1,-0.241505372074632
0.692,-0.350640108075753,-0.352979511164411,-0.27015708203955,0.986730207971275,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.306629847927404,0,-0.144903223244779
1.042,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.184418200464891,0,-0.253580640678363
