"strict","cattleTrade_1986.1995","cattleTrade_1995.2004","cattleTrade_2004.2013","sheepTrade_1986.1995","sheepTrade_1995.2004","sheepTrade_2004.2013","pigsTrade_1986.1995","pigsTrade_1995.2004","pigsTrade_2004.2013","geodistance","borders","sequenceDiffs"
0.589,0.987031617711507,0.900037469643177,0.722382530323935,0.812112114806292,0.643226658207221,-0.208589142815164,0.649576842266984,1.07326317372939,0.788307383935518,0.145548258175267,1,-0.99943237690877
3.464,1.06359034470905,0.776001741981412,0.587536501769498,0.848979728892793,-0.210622710800652,0.821869183798394,0.40403726418956,-0.225817845621666,-0.228288165554141,0.222808795042902,0,-0.815628721385318
0.706,-0.350640108075753,-0.352979511164411,0.556998728413297,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.306629847927404,0,-0.896042820676828
0.51,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.285246067769667,0,-1.04538329078963
1.083,0.571990570641822,0.24741875134995,-0.27015708203955,0.522550299124601,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.227857352097045,0,-1.0224078338492
2.304,0.54546577709434,-0.352979511164411,0.32393440821012,0.66589665724244,0.694893191895766,0.449720409784466,0.424105189275239,1.04829872585494,0.667773162445552,-0.0311215992665949,1,-1.03389556231942
0.761,-0.350640108075753,-0.352979511164411,0.991996436380627,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.319556896623848,0,-0.712239165153376
0.757,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.145548258175267,1,0.99943237690877
1.426,1.16965359256965,0.722232238086839,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.0658801738733859,0,0.183803655523452
0.755,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.184418200464891,0,0.103389556231942
0.77,-0.350640108075753,0.235553231977519,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.166564995131379,0,-0.045950913880863
0.895,-0.350640108075753,0.457450860215884,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.056750164732912,1,-0.0229754569404315
0.736,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.138497082499027,0,-0.0344631854106472
0.736,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.199458585347312,0,0.287193211755394
1.264,0.614343978201506,0.437249513865446,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,1.37193171173317,1.09473692967012,1.45791007546956,0.222808795042902,0,0.815628721385318
0.763,0.632894849982004,0.693626142717241,0.853138450064475,-0.249184800756967,0.626804141322117,-0.208589142815164,0.662717854037869,0.840485854482184,1.22775408559454,0.0658801738733859,0,-0.183803655523452
0.674,0.416737071338458,0.62644091086692,-0.27015708203955,-0.249184800756967,0.024989294817268,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.206714651979957,1,-0.0804140992915102
0.961,0.295586702297805,0.243405750612149,0.333113180194649,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.223755369934073,0,-0.229754569404315
0.914,0.69967954639058,0.41172337422733,-0.27015708203955,0.874736922067296,1.05744607688713,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.172298383672521,0,-0.206779112463883
0.653,0.33056626590274,0.2616880854998,-0.16998547496349,0.570190532393009,0.55603456286273,-0.208589142815164,1.08402236077237,0.659165417578348,0.753087592685687,0.183176935677122,0,-0.218266840934099
3.127,0.0346991216418474,0.584783611192981,1.88970951141676,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.183861770964259,1,0.103389556231942
0.694,-0.350640108075753,-0.352979511164411,-0.27015708203955,0.986730207971275,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.306629847927404,0,0.896042820676828
0.697,-0.350640108075753,-0.352979511164411,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.184418200464891,0,-0.103389556231942
0.713,-0.350640108075753,0.0646462624374907,-0.27015708203955,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.206714651979957,1,0.0804140992915102
1.166,0.00798607992847584,0.184204198806453,0.375242922239868,0.590318971417735,-0.210622710800652,-0.208589142815164,1.60758016024733,1.27798138802139,1.14591110899926,-0.0422267772443546,1,-0.149340470112805
0.724,0.233891645891516,-0.0463954727711723,0.684421291088983,-0.249184800756967,-0.210622710800652,-0.208589142815164,-0.223717895403598,-0.225817845621666,-0.228288165554141,0.0740319730480285,0,-0.126365013172373
