"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,4580,0,0,50,0,5,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,900,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,54,0,0,0,0,0,0,0,0
"Uruguay",14,0,5720,0,0,0,43,18,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
