"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",18,14,128,79,213,214,469,28,225,58
"Bolivia (Plurinational State of)",1,0,0,4,0,0,0,0,0,0
"Brazil",27,17,3,7,0,8,0,0,280,52
"Chile",114,0,87,0,3,0,0,0,0,1
"Colombia",0,0,0,0,0,9,0,1,0,16
"Ecuador",5,0,0,0,29,0,0,4,0,0
"Paraguay",9,3,0,0,0,0,0,0,1,0
"Peru",9,6,0,0,6,65,0,0,0,0
"Uruguay",1871,0,412,2,11,0,0,0,0,2
"Venezuela (Bolivarian Republic of)",0,0,0,0,14,0,0,0,0,0
