"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,57,167,78,123,40,33,26,1088,52
"Bolivia (Plurinational State of)",10,0,0,0,0,0,0,1,0,0
"Brazil",27,0,2,6,0,16,0,0,359,51
"Chile",57,4,41,0,6,13,0,3,7,2
"Colombia",0,0,0,0,0,13,0,0,0,0
"Ecuador",0,0,0,0,1,0,0,0,0,0
"Paraguay",2,0,0,0,0,0,0,0,3,0
"Peru",7,21,0,1,0,30,0,0,0,0
"Uruguay",14,0,5,0,0,0,0,16,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,12,5,0,0,0,0
