"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,520,211,0,0,0,0,0,2,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,36,0
"Chile",30008,0,0,0,0,0,0,0,0,0
"Colombia",2458,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",6,0,0,0,0,0,0,0,0,0
"Uruguay",12510,0,14,0,0,0,197,10448,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
