"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,7361,1828,116,0,0,2143700,0,0,0
"Bolivia (Plurinational State of)",0,0,2300,0,0,0,0,1150,0,0
"Brazil",416,2927,0,0,1561,0,6106,0,0,0
"Chile",3069,59,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,139741
"Ecuador",0,0,0,0,1283,0,0,0,0,0
"Paraguay",1291,896,27946,0,0,0,0,0,0,0
"Peru",0,2,0,0,0,0,0,0,0,0
"Uruguay",19264,0,14528,64,0,0,21050,326,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,45,0,0,0,0,0
