"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,59,370,383,213,69,222,51,148,23
"Bolivia (Plurinational State of)",0,0,0,1,31,0,0,0,0,0
"Brazil",32,0,0,6,0,0,27,0,23,0
"Chile",9,6,14,0,0,49,0,10019,0,0
"Colombia",7,0,0,0,187,42,0,0,0,27
"Ecuador",0,0,0,0,44,0,0,209,0,0
"Paraguay",12,0,0,0,0,0,0,0,1,0
"Peru",8,11,0,9,0,0,0,0,0,0
"Uruguay",2781,0,89,4,3,0,87,7,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,147,0,0,0,0,0
