"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,122,486,195,688,34,129,190,371,188
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,2,0,0
"Brazil",72,0,0,6,11,0,20,0,11,10
"Chile",16,4,1,0,12,30,0,58,0,0
"Colombia",0,0,0,0,0,8,0,0,0,34
"Ecuador",0,0,0,0,16,0,0,114,0,7
"Paraguay",400,0,0,0,900,3090,0,0,0,0
"Peru",4,29,0,0,0,42,0,0,0,0
"Uruguay",2141,0,15,0,0,0,79,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
