"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",20,1,106,52,788,60,31,61,124,25
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",99,0,21,7,0,0,40,0,211,44
"Chile",106,1,105,0,0,40,8,24,10,30
"Colombia",0,0,0,0,10,2,0,0,0,0
"Ecuador",0,0,0,0,2,0,0,100,0,0
"Paraguay",1,0,0,0,0,0,0,0,0,0
"Peru",18,0,0,0,6,63,0,0,0,0
"Uruguay",54,0,50,0,21,0,268,0,4,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,6,0,0,0,0,0
