"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,25,0,0,0,0,142,0,0,1736
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,79,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,36,0,244241
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,185,0,0,0,0,0,0,0
"Peru",0,26,0,0,0,0,0,0,0,0
"Uruguay",22,0,1506,0,0,0,0,0,0,1792
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
