"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",23,24,113,91,9,36,127,210,191,63
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",59,0,0,1,0,1,266,0,67,4
"Chile",29,3,0,0,30,2,0,19,0,0
"Colombia",0,0,4,0,0,13,0,0,0,0
"Ecuador",0,0,0,0,1,0,0,5,0,0
"Paraguay",1,1,0,25,0,0,0,0,0,0
"Peru",16,0,0,4,3,22,0,0,0,1
"Uruguay",2631,3,2,12,0,0,8,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,18,0,0,0,0,0
