"from","to","distance","flow","year","popFrom","popTo","year.1"
"Argentina","Argentina",0,0,"1986",4000000,4000000,"1986"
"Bolivia","Argentina",2056.02752105864,0,"1986",1788377,4000000,"1986"
"Brazil","Argentina",2970.62008811255,0,"1986",32539344,4000000,"1986"
"Chile","Argentina",549.236062178285,0,"1986",1150000,4000000,"1986"
"Colombia","Argentina",4428.06221883752,0,"1986",2440000,4000000,"1986"
"Ecuador","Argentina",3999.3326249303,0,"1986",1842500,4000000,"1986"
"Paraguay","Argentina",1481.30586680423,0,"1986",1507777,4000000,"1986"
"Peru","Argentina",3042.91337969977,0,"1986",2452600,4000000,"1986"
"Uruguay","Argentina",886.025785928525,0,"1986",195000,4000000,"1986"
"Venezuela","Argentina",4709.22119899415,0,"1986",3010730,4000000,"1986"
"Argentina","Bolivia",2056.02752105864,0,"1986",4000000,1788377,"1986"
"Bolivia","Bolivia",0,0,"1986",1788377,1788377,"1986"
"Brazil","Bolivia",1406.69570016608,0,"1986",32539344,1788377,"1986"
"Chile","Bolivia",2150.12404536596,0,"1986",1150000,1788377,"1986"
"Colombia","Bolivia",2474.21126193179,0,"1986",2440000,1788377,"1986"
"Ecuador","Bolivia",2272.50983152685,0,"1986",1842500,1788377,"1986"
"Paraguay","Bolivia",978.129744567879,0,"1986",1507777,1788377,"1986"
"Peru","Bolivia",1346.81559926284,0,"1986",2452600,1788377,"1986"
"Uruguay","Bolivia",1988.1166048493,0,"1986",195000,1788377,"1986"
"Venezuela","Bolivia",2657.95864060761,0,"1986",3010730,1788377,"1986"
"Argentina","Brazil",2970.62008811255,0,"1986",4000000,32539344,"1986"
"Bolivia","Brazil",1406.69570016608,0,"1986",1788377,32539344,"1986"
"Brazil","Brazil",9.50453877449036e-05,0,"1986",32539344,32539344,"1986"
"Chile","Brazil",3263.9546339556,0,"1986",1150000,32539344,"1986"
"Colombia","Brazil",2751.42249501054,0,"1986",2440000,32539344,"1986"
"Ecuador","Brazil",2984.04262936217,0,"1986",1842500,32539344,"1986"
"Paraguay","Brazil",1489.69662074046,0,"1986",1507777,32539344,"1986"
"Peru","Brazil",2335.42519419623,0,"1986",2452600,32539344,"1986"
"Uruguay","Brazil",2459.62642648411,0,"1986",195000,32539344,"1986"
"Venezuela","Brazil",2467.66256692768,0,"1986",3010730,32539344,"1986"
"Argentina","Chile",549.236062178285,0,"1986",4000000,1150000,"1986"
"Bolivia","Chile",2150.12404536596,0,"1986",1788377,1150000,"1986"
