"from","to","distance","flow","year","popFrom","popTo","year.1"
"Chile","Peru",2907.26314858048,0,"1986",5805700,12876400,"1986"
"Colombia","Peru",1462.40463082501,0,"1986",2537500,12876400,"1986"
"Ecuador","Peru",970.593580094301,0,"1986",1194600,12876400,"1986"
"Paraguay","Peru",2313.14659568562,0,"1986",388152,12876400,"1986"
"Peru","Peru",0,0,"1986",12876400,12876400,"1986"
"Uruguay","Peru",3235.55515495335,3130,"1986",23336576,12876400,"1986"
"Venezuela","Peru",2027.07639181003,0,"1986",264500,12876400,"1986"
"Argentina","Uruguay",886.025785928525,7,"1986",29167008,23336576,"1986"
"Bolivia","Uruguay",1988.1166048493,0,"1986",6033596,23336576,"1986"
"Brazil","Uruguay",2459.62642648411,3,"1986",19659744,23336576,"1986"
"Chile","Uruguay",1425.34334919956,0,"1986",5805700,23336576,"1986"
"Colombia","Uruguay",4461.84126189406,0,"1986",2537500,23336576,"1986"
"Ecuador","Uruguay",4202.77606287468,0,"1986",1194600,23336576,"1986"
"Paraguay","Uruguay",1086.56070082819,0,"1986",388152,23336576,"1986"
"Peru","Uruguay",3235.55515495335,0,"1986",12876400,23336576,"1986"
"Uruguay","Uruguay",0,0,"1986",23336576,23336576,"1986"
"Venezuela","Uruguay",4569.68551328267,0,"1986",264500,23336576,"1986"
"Argentina","Venezuela",4709.22119899415,0,"1986",29167008,264500,"1986"
"Bolivia","Venezuela",2657.95864060761,0,"1986",6033596,264500,"1986"
"Brazil","Venezuela",2467.66256692768,0,"1986",19659744,264500,"1986"
"Chile","Venezuela",4731.36564349597,0,"1986",5805700,264500,"1986"
"Colombia","Venezuela",840.85503052881,0,"1986",2537500,264500,"1986"
"Ecuador","Venezuela",1657.06351856764,0,"1986",1194600,264500,"1986"
"Paraguay","Venezuela",3484.3757151894,0,"1986",388152,264500,"1986"
"Peru","Venezuela",2027.07639181003,0,"1986",12876400,264500,"1986"
"Uruguay","Venezuela",4569.68551328267,0,"1986",23336576,264500,"1986"
"Venezuela","Venezuela",9.50453877449036e-05,0,"1986",264500,264500,"1986"
"Argentina","Argentina",0,0,"1987",28750000,28750000,"1987"
"Bolivia","Argentina",2056.02752105864,0,"1987",7245575,28750000,"1987"
"Brazil","Argentina",2970.62008811255,0,"1987",19859616,28750000,"1987"
"Chile","Argentina",549.236062178285,12067,"1987",5500000,28750000,"1987"
"Colombia","Argentina",4428.06221883752,0,"1987",2575500,28750000,"1987"
"Ecuador","Argentina",3999.3326249303,0,"1987",1293000,28750000,"1987"
"Paraguay","Argentina",1481.30586680423,0,"1987",410983,28750000,"1987"
"Peru","Argentina",3042.91337969977,0,"1987",13074600,28750000,"1987"
"Uruguay","Argentina",886.025785928525,43,"1987",24006000,28750000,"1987"
"Venezuela","Argentina",4709.22119899415,0,"1987",316300,28750000,"1987"
"Argentina","Bolivia",2056.02752105864,205,"1987",28750000,7245575,"1987"
"Bolivia","Bolivia",0,0,"1987",7245575,7245575,"1987"
"Brazil","Bolivia",1406.69570016608,0,"1987",19859616,7245575,"1987"
"Chile","Bolivia",2150.12404536596,0,"1987",5500000,7245575,"1987"
"Colombia","Bolivia",2474.21126193179,0,"1987",2575500,7245575,"1987"
"Ecuador","Bolivia",2272.50983152685,0,"1987",1293000,7245575,"1987"
"Paraguay","Bolivia",978.129744567879,0,"1987",410983,7245575,"1987"
"Peru","Bolivia",1346.81559926284,230,"1987",13074600,7245575,"1987"
"Uruguay","Bolivia",1988.1166048493,460,"1987",24006000,7245575,"1987"
"Venezuela","Bolivia",2657.95864060761,0,"1987",316300,7245575,"1987"
"Argentina","Brazil",2970.62008811255,5,"1987",28750000,19859616,"1987"
"Bolivia","Brazil",1406.69570016608,0,"1987",7245575,19859616,"1987"
"Brazil","Brazil",9.50453877449036e-05,0,"1987",19859616,19859616,"1987"
"Chile","Brazil",3263.9546339556,0,"1987",5500000,19859616,"1987"
"Colombia","Brazil",2751.42249501054,0,"1987",2575500,19859616,"1987"
"Ecuador","Brazil",2984.04262936217,0,"1987",1293000,19859616,"1987"
"Paraguay","Brazil",1489.69662074046,0,"1987",410983,19859616,"1987"
"Peru","Brazil",2335.42519419623,0,"1987",13074600,19859616,"1987"
"Uruguay","Brazil",2459.62642648411,31,"1987",24006000,19859616,"1987"
"Venezuela","Brazil",2467.66256692768,0,"1987",316300,19859616,"1987"
"Argentina","Chile",549.236062178285,0,"1987",28750000,5500000,"1987"
"Bolivia","Chile",2150.12404536596,0,"1987",7245575,5500000,"1987"
"Brazil","Chile",3263.9546339556,0,"1987",19859616,5500000,"1987"
"Chile","Chile",0,0,"1987",5500000,5500000,"1987"
"Colombia","Chile",4348.83354270014,0,"1987",2575500,5500000,"1987"
"Ecuador","Chile",3824.43442207705,0,"1987",1293000,5500000,"1987"
"Paraguay","Chile",1812.53392353318,0,"1987",410983,5500000,"1987"
"Peru","Chile",2907.26314858048,0,"1987",13074600,5500000,"1987"
"Uruguay","Chile",1425.34334919956,0,"1987",24006000,5500000,"1987"
"Venezuela","Chile",4731.36564349597,0,"1987",316300,5500000,"1987"
"Argentina","Colombia",4428.06221883752,0,"1987",28750000,2575500,"1987"
"Bolivia","Colombia",2474.21126193179,0,"1987",7245575,2575500,"1987"
"Brazil","Colombia",2751.42249501054,0,"1987",19859616,2575500,"1987"
"Chile","Colombia",4348.83354270014,0,"1987",5500000,2575500,"1987"
"Colombia","Colombia",0,0,"1987",2575500,2575500,"1987"
"Ecuador","Colombia",840.344466338468,0,"1987",1293000,2575500,"1987"
"Paraguay","Colombia",3415.921941428,0,"1987",410983,2575500,"1987"
"Peru","Colombia",1462.40463082501,0,"1987",13074600,2575500,"1987"
"Uruguay","Colombia",4461.84126189406,0,"1987",24006000,2575500,"1987"
"Venezuela","Colombia",840.85503052881,0,"1987",316300,2575500,"1987"
"Argentina","Ecuador",3999.3326249303,0,"1987",28750000,1293000,"1987"
"Bolivia","Ecuador",2272.50983152685,0,"1987",7245575,1293000,"1987"
"Brazil","Ecuador",2984.04262936217,0,"1987",19859616,1293000,"1987"
"Chile","Ecuador",3824.43442207705,0,"1987",5500000,1293000,"1987"
"Colombia","Ecuador",840.344466338468,0,"1987",2575500,1293000,"1987"
"Ecuador","Ecuador",0,0,"1987",1293000,1293000,"1987"
"Paraguay","Ecuador",3250.23740422779,0,"1987",410983,1293000,"1987"
"Peru","Ecuador",970.593580094301,0,"1987",13074600,1293000,"1987"
"Uruguay","Ecuador",4202.77606287468,0,"1987",24006000,1293000,"1987"
"Venezuela","Ecuador",1657.06351856764,0,"1987",316300,1293000,"1987"
"Argentina","Paraguay",1481.30586680423,19,"1987",28750000,410983,"1987"
"Bolivia","Paraguay",978.129744567879,0,"1987",7245575,410983,"1987"
"Brazil","Paraguay",1489.69662074046,0,"1987",19859616,410983,"1987"
"Chile","Paraguay",1812.53392353318,0,"1987",5500000,410983,"1987"
"Colombia","Paraguay",3415.921941428,0,"1987",2575500,410983,"1987"
"Ecuador","Paraguay",3250.23740422779,0,"1987",1293000,410983,"1987"
"Paraguay","Paraguay",0,0,"1987",410983,410983,"1987"
"Peru","Paraguay",2313.14659568562,0,"1987",13074600,410983,"1987"
"Uruguay","Paraguay",1086.56070082819,1228,"1987",24006000,410983,"1987"
"Venezuela","Paraguay",3484.3757151894,0,"1987",316300,410983,"1987"
"Argentina","Peru",3042.91337969977,130,"1987",28750000,13074600,"1987"
"Bolivia","Peru",1346.81559926284,0,"1987",7245575,13074600,"1987"
"Brazil","Peru",2335.42519419623,0,"1987",19859616,13074600,"1987"
"Chile","Peru",2907.26314858048,0,"1987",5500000,13074600,"1987"
"Colombia","Peru",1462.40463082501,0,"1987",2575500,13074600,"1987"
"Ecuador","Peru",970.593580094301,0,"1987",1293000,13074600,"1987"
"Paraguay","Peru",2313.14659568562,0,"1987",410983,13074600,"1987"
"Peru","Peru",0,0,"1987",13074600,13074600,"1987"
"Uruguay","Peru",3235.55515495335,0,"1987",24006000,13074600,"1987"
"Venezuela","Peru",2027.07639181003,0,"1987",316300,13074600,"1987"
"Argentina","Uruguay",886.025785928525,45,"1987",28750000,24006000,"1987"
"Bolivia","Uruguay",1988.1166048493,0,"1987",7245575,24006000,"1987"
"Brazil","Uruguay",2459.62642648411,3,"1987",19859616,24006000,"1987"
"Chile","Uruguay",1425.34334919956,0,"1987",5500000,24006000,"1987"
"Colombia","Uruguay",4461.84126189406,0,"1987",2575500,24006000,"1987"
"Ecuador","Uruguay",4202.77606287468,0,"1987",1293000,24006000,"1987"
"Paraguay","Uruguay",1086.56070082819,0,"1987",410983,24006000,"1987"
"Peru","Uruguay",3235.55515495335,0,"1987",13074600,24006000,"1987"
"Uruguay","Uruguay",0,0,"1987",24006000,24006000,"1987"
"Venezuela","Uruguay",4569.68551328267,0,"1987",316300,24006000,"1987"
"Argentina","Venezuela",4709.22119899415,0,"1987",28750000,316300,"1987"
"Bolivia","Venezuela",2657.95864060761,0,"1987",7245575,316300,"1987"
"Brazil","Venezuela",2467.66256692768,0,"1987",19859616,316300,"1987"
"Chile","Venezuela",4731.36564349597,0,"1987",5500000,316300,"1987"
"Colombia","Venezuela",840.85503052881,0,"1987",2575500,316300,"1987"
"Ecuador","Venezuela",1657.06351856764,0,"1987",1293000,316300,"1987"
"Paraguay","Venezuela",3484.3757151894,0,"1987",410983,316300,"1987"
"Peru","Venezuela",2027.07639181003,0,"1987",13074600,316300,"1987"
"Uruguay","Venezuela",4569.68551328267,0,"1987",24006000,316300,"1987"
"Venezuela","Venezuela",9.50453877449036e-05,0,"1987",316300,316300,"1987"
"Argentina","Argentina",0,0,"1988",29167008,29167008,"1988"
"Bolivia","Argentina",2056.02752105864,0,"1988",7505493,29167008,"1988"
"Brazil","Argentina",2970.62008811255,0,"1988",20084880,29167008,"1988"
"Chile","Argentina",549.236062178285,30008,"1988",5300000,29167008,"1988"
"Colombia","Argentina",4428.06221883752,2458,"1988",2542000,29167008,"1988"
