"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,0,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,380,0,0,0,0,0,0,0
"Brazil",2,8,0,0,693,0,1290,0,217,0
"Chile",8,0,0,0,0,0,0,79,0,0
"Colombia",0,0,0,0,0,13,0,0,0,151
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,188,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",94,0,0,0,0,895,37,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,219,0,0,0,0,0
