"from","to","distance","flow","year","popFrom","popTo","year.1"
"Argentina","Argentina",0,0,"1986",52537008,52537008,"1986"
"Bolivia","Argentina",2056.02752105864,0,"1986",5055183,52537008,"1986"
"Brazil","Argentina",2970.62008811255,2,"1986",132221568,52537008,"1986"
"Chile","Argentina",549.236062178285,0,"1986",3220000,52537008,"1986"
"Colombia","Argentina",4428.06221883752,0,"1986",23593280,52537008,"1986"
"Ecuador","Argentina",3999.3326249303,0,"1986",3764800,52537008,"1986"
"Paraguay","Argentina",1481.30586680423,12,"1986",7150815,52537008,"1986"
"Peru","Argentina",3042.91337969977,0,"1986",4171700,52537008,"1986"
"Uruguay","Argentina",886.025785928525,24,"1986",9300479,52537008,"1986"
"Venezuela","Argentina",4709.22119899415,0,"1986",12330771,52537008,"1986"
"Argentina","Bolivia",2056.02752105864,0,"1986",52537008,5055183,"1986"
"Bolivia","Bolivia",0,0,"1986",5055183,5055183,"1986"
"Brazil","Bolivia",1406.69570016608,128,"1986",132221568,5055183,"1986"
"Chile","Bolivia",2150.12404536596,0,"1986",3220000,5055183,"1986"
"Colombia","Bolivia",2474.21126193179,0,"1986",23593280,5055183,"1986"
"Ecuador","Bolivia",2272.50983152685,0,"1986",3764800,5055183,"1986"
"Paraguay","Bolivia",978.129744567879,0,"1986",7150815,5055183,"1986"
"Peru","Bolivia",1346.81559926284,3,"1986",4171700,5055183,"1986"
"Uruguay","Bolivia",1988.1166048493,665,"1986",9300479,5055183,"1986"
"Venezuela","Bolivia",2657.95864060761,0,"1986",12330771,5055183,"1986"
"Argentina","Brazil",2970.62008811255,20,"1986",52537008,132221568,"1986"
"Bolivia","Brazil",1406.69570016608,26456,"1986",5055183,132221568,"1986"
"Brazil","Brazil",9.50453877449036e-05,0,"1986",132221568,132221568,"1986"
"Chile","Brazil",3263.9546339556,0,"1986",3220000,132221568,"1986"
"Colombia","Brazil",2751.42249501054,0,"1986",23593280,132221568,"1986"
"Ecuador","Brazil",2984.04262936217,0,"1986",3764800,132221568,"1986"
"Paraguay","Brazil",1489.69662074046,1395,"1986",7150815,132221568,"1986"
"Peru","Brazil",2335.42519419623,0,"1986",4171700,132221568,"1986"
"Uruguay","Brazil",2459.62642648411,187,"1986",9300479,132221568,"1986"
"Venezuela","Brazil",2467.66256692768,0,"1986",12330771,132221568,"1986"
"Argentina","Chile",549.236062178285,0,"1986",52537008,3220000,"1986"
"Bolivia","Chile",2150.12404536596,0,"1986",5055183,3220000,"1986"
"Brazil","Chile",3263.9546339556,0,"1986",132221568,3220000,"1986"
"Chile","Chile",0,0,"1986",3220000,3220000,"1986"
"Colombia","Chile",4348.83354270014,0,"1986",23593280,3220000,"1986"
"Ecuador","Chile",3824.43442207705,0,"1986",3764800,3220000,"1986"
"Paraguay","Chile",1812.53392353318,0,"1986",7150815,3220000,"1986"
"Peru","Chile",2907.26314858048,0,"1986",4171700,3220000,"1986"
"Uruguay","Chile",1425.34334919956,0,"1986",9300479,3220000,"1986"
"Venezuela","Chile",4731.36564349597,0,"1986",12330771,3220000,"1986"
"Argentina","Colombia",4428.06221883752,0,"1986",52537008,23593280,"1986"
