"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,362,3008,0,0,0,217,0,803,0
"Bolivia (Plurinational State of)",0,0,71484,0,0,0,0,0,0,0
"Brazil",0,229,0,0,0,130,0,0,82,0
"Chile",0,40,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,13,0,39,0,108231
"Ecuador",0,0,0,0,0,0,0,2,0,0
"Paraguay",2,207,6985,0,0,0,0,0,11,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",166,194,2614,0,0,118,639,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
