"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,15,193,189,67,13,387,35,184,3428
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",1,35,0,0,0,0,12,0,3,0
"Chile",16,5,0,0,7,14,4,2,0,0
"Colombia",0,0,0,0,0,0,0,0,0,3
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",3,1,0,0,0,0,0,0,0,0
"Peru",3,0,0,8,0,13,0,0,0,15
"Uruguay",31,0,424,0,0,0,610,0,0,13
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
