"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,245,0,0,0,0,1785,0,0,10
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,1247,0,0,0,64,0,0,0,304690
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,45,0,9878
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,89581,0,0,239,171,0,0,1500
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
