"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,245,134,130,65,28,484,47,220,63
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,47,0,7,0,0,38,15,3,0
"Chile",10,39,31,0,11,1,0,9,10,25
"Colombia",0,0,0,0,0,39,0,0,0,5
"Ecuador",0,3,0,0,2,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,2,0
"Peru",2,236,1,8,0,39,0,0,0,19
"Uruguay",169,0,23,0,0,2,751,0,0,6
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
