"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,56,126,0,20,160,73,142,79
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",8,18,0,0,0,0,0,0,5,0
"Chile",17,10,32,0,0,12,0,12,0,22
"Colombia",0,0,0,3,0,22,0,14,0,14
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",12,0,0,0,0,0,0,0,108,0
"Peru",28,4,6,160,0,83,0,0,0,4
"Uruguay",1442,0,1189,0,0,0,1246,0,0,41
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
