"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",15,20,102,85,1008,101,42,65,162,67
"Bolivia (Plurinational State of)",2,0,0,0,0,0,0,0,0,0
"Brazil",55,0,30,2,0,0,67,0,190,4
"Chile",72,0,112,0,16,35,23,7,18,4
"Colombia",0,0,0,0,0,20,0,2,0,0
"Ecuador",0,0,0,0,0,0,0,12,0,0
"Paraguay",2,0,0,15,0,0,0,0,0,0
"Peru",16,1,0,4,0,61,0,0,0,0
"Uruguay",46,0,34,1,0,7,171,0,1,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
