"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,23,218,173,99,0,573,67,1008,52
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",20,0,0,4,0,0,0,0,4,0
"Chile",24,0,8,0,4,16,0,3,0,0
"Colombia",0,0,0,0,0,6,0,0,0,2
"Ecuador",0,0,0,0,2,0,0,5,0,8
"Paraguay",2,0,0,0,0,0,0,0,10,0
"Peru",5,106,0,5,0,64,0,0,0,6
"Uruguay",2173,0,586,9,0,0,700,0,0,2
"Venezuela (Bolivarian Republic of)",0,0,0,0,7,0,0,0,0,0
