"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,22681,25886,0,0,0,322374,72,54,0
"Bolivia (Plurinational State of)",0,0,14808,0,0,0,0,0,0,0
"Brazil",0,108,0,0,259,0,25,487,0,0
"Chile",2121,0,0,0,0,0,234,0,0,0
"Colombia",0,0,0,0,1028,0,0,0,0,97
"Ecuador",0,0,0,0,3037,0,0,4675,0,0
"Paraguay",0,317,64320,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",681,0,195593,0,0,0,1842,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,68014,0,0,0,0,0
