"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,66,609,401,216,46,83,24,87,20
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,5,0,0
"Brazil",57,4,0,24,56,4,3,0,44,0
"Chile",12,8,36,0,0,66,0,8,0,0
"Colombia",0,0,23,0,415,28,0,0,0,13
"Ecuador",0,0,0,0,7,0,0,26,0,0
"Paraguay",2,0,0,0,0,0,0,0,0,0
"Peru",0,25,0,28,0,98,0,0,0,0
"Uruguay",4853,0,19,3,15,0,102,0,0,7
"Venezuela (Bolivarian Republic of)",0,0,0,0,539,0,0,0,0,0
