"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",23,45,85,49,121,149,54,63,156,38
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",15,30,5,15,0,0,17,0,359,0
"Chile",53,0,1,0,0,1,0,0,0,4
"Colombia",0,0,0,0,0,5,0,0,0,16
"Ecuador",0,0,1,0,6,0,0,0,0,0
"Paraguay",1,0,11,0,0,0,0,0,0,0
"Peru",11,13,0,0,0,59,0,0,0,0
"Uruguay",36,0,71,3,1,11,0,17,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,71,0,0,0,0,0
