"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,3068,3983,0,0,0,4931,0,101,0
"Bolivia (Plurinational State of)",0,0,3000,0,0,0,0,0,0,0
"Brazil",1014,540,0,0,91,0,116,384,22,24
"Chile",889,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,32,0,5069
"Ecuador",0,0,0,0,5467,0,0,1106,0,0
"Paraguay",0,67,38058,0,0,0,0,0,0,0
"Peru",0,23,0,0,0,11,0,0,0,0
"Uruguay",1443,109,33165,0,0,0,1139,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,2457,0,0,0,0,0
