"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,0,0,0,116,0,8,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,28,0,0,0
"Chile",0,0,0,0,993,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,104,0,0,0,0,0,0,0,0
"Uruguay",30,0,778,0,0,0,0,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
