"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,0,0,0,0,1429,0,0,0
"Bolivia (Plurinational State of)",0,0,0,0,0,180,0,0,0,0
"Brazil",0,114,0,0,65,0,1235,0,0,3946
"Chile",0,0,0,0,0,0,0,300,0,0
"Colombia",0,0,0,0,0,99,0,14,0,248878
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,125,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",313,0,709,0,0,0,112,572,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
