"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",6,0,168,62,592,35,60,47,103,45
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",34,0,13,8,0,0,32,0,879,0
"Chile",56,0,20,0,106,9,0,11,9,4
"Colombia",0,0,0,0,2,10,0,7,0,1
"Ecuador",0,0,0,0,4,0,0,14,0,0
"Paraguay",6,0,0,0,0,0,0,0,0,0
"Peru",52,0,0,18,0,97,0,0,0,0
"Uruguay",58,0,58,0,2,0,191,0,1,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,12,12,0,4,0,0
