"Area","Year","Cattle","Goats","Horses","Pigs","Sheep"
"Venezuela",1991,13586200,1800000,495000,3000000,366600
"Venezuela",1992,13648000,1850000,495000,3182740,377000
"Venezuela",1993,13325000,1987000,495000,3455560,396000
"Venezuela",1994,13796000,1990000,495000,3716370,399300
"Venezuela",1995,13950403,1173330,500000,2975345,481697
"Venezuela",1996,14016307,1152654,500000,2885020,480552
"Venezuela",1997,14249724,1132656,500000,2751325,479092
"Venezuela",1998,14539512,1161236,500000,2844876,475341
"Venezuela",1999,14858779,1180521,500000,2792422,450830
"Venezuela",2000,15164370,1205123,500000,2809968,471216
"Venezuela",2001,15474090,1224741,500000,2780120,485066
"Venezuela",2002,15791136,1250852,500000,2825210,511784
"Venezuela",2003,15988907,1279635,500000,2921603,520225
"Venezuela",2004,16231616,1310794,500000,3046903,528190
"Venezuela",2005,16615439,1341953,500000,3264138,525121
"Venezuela",2006,16628837,1362190,500000,3195790,544432
"Venezuela",2007,16853524,1386345,510000,3216222,555122
"Venezuela",2008,16987936,1415129,510000,3312058,566044
"Venezuela",2009,17000000,1420000,510000,3350000,570000
"Venezuela",2010,14134039,1417718,515000,3486492,586950
"Venezuela",2011,14334094,1419978,518000,3685659,589702
"Venezuela",2012,16969650,1426518,520000,3812123,596622
"Venezuela",2013,16971185,1430759,522000,3813473,599842
"Venezuela",2014,16816301,1432899,522000,3808433,601207
"Venezuela",2015,16795158,1433125,523563,3794361,601967
"Venezuela",2016,16574368,1433274,522000,3546987,602328
"Venezuela",2017,16482742,1418783,522000,3424840,603000
