"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,67,82,4145,132,38,84,0,1892,75
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",54,0,0,4,10,0,61,0,5,0
"Chile",19,2,13,0,13,21,0,36,0,0
"Colombia",0,0,10,0,8,12,0,0,0,189
"Ecuador",0,0,0,6,20,0,0,11,0,0
"Paraguay",4,17,0,0,0,0,0,0,4,0
"Peru",1,14,4,6,4,34,0,0,0,0
"Uruguay",6347,0,25,16,0,0,118,0,0,10
"Venezuela (Bolivarian Republic of)",0,0,0,0,77,0,0,0,0,0
