"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,49,302,210,813,80,18200,27,64,65
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,10,0,0
"Brazil",32,2,0,24,1,4,280,0,49,8
"Chile",36,5,1,0,6,53,0,7,0,1
"Colombia",0,0,3,0,0,6,0,0,0,14
"Ecuador",12,0,0,0,47,0,0,719,0,0
"Paraguay",6,0,0,0,0,0,0,0,0,0
"Peru",0,8,0,0,8,31,0,0,0,0
"Uruguay",1868,0,49,0,0,0,7550,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,46,0,0,0,0,0
