"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,39,146,38,30,15,0,173,73,45
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",49,14,0,3,25,0,13,0,151,0
"Chile",28,0,1,0,45,4,0,40,0,0
"Colombia",0,0,0,0,0,10,0,0,0,14
"Ecuador",0,0,0,0,6,0,0,0,0,9
"Paraguay",3,5,0,0,0,0,0,0,0,0
"Peru",24,7,0,6,0,29,0,0,0,0
"Uruguay",2445,4,5,3,0,0,44,7,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,37,0,0,0,0,0
