"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,0,666,217,0,0,389,0,103,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,122,0,19,0
"Chile",41080,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,26423,0,0,0,1039,1165,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
