"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,7493,6528,0,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,718,0,0,0,0,134,0,0
"Brazil",0,326,0,0,16,0,0,0,0,0
"Chile",210,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,70
"Ecuador",0,0,0,0,0,0,0,394,0,0
"Paraguay",0,102,36701,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",41506,69,11867,0,0,0,134,77,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
