"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,503,174,106,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,2528,0,0,0,0,0,0,0
"Brazil",656,6444,0,0,149,0,20,0,0,0
"Chile",2151,0,0,0,0,0,0,0,0,0
"Colombia",0,0,39,0,0,0,0,0,0,8230
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",15,14488,15366,0,0,0,0,0,0,0
"Peru",0,10,0,0,0,0,0,0,0,0
"Uruguay",11423,124,13869,0,0,0,10,3339,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
