"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",19,12,144,65,129,30,9,66,154,54
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",91,0,11,5,0,5,40,0,256,0
"Chile",158,0,173,0,13,10,10,17,7,2
"Colombia",0,0,0,0,6,0,0,0,0,1
"Ecuador",0,0,0,0,4,0,0,7,0,3
"Paraguay",9,0,0,0,0,0,0,0,0,0
"Peru",12,0,0,1,5,127,0,0,0,0
"Uruguay",48,0,65,0,0,0,90,15,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,14,0,0,0,0,0
