"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,23,96,130,83,6,397,27,63,170
"Bolivia (Plurinational State of)",5,0,0,0,0,0,0,0,0,0
"Brazil",21,16,0,3,0,0,2,0,2,0
"Chile",24,0,28,0,6,11,0,5,0,13
"Colombia",0,0,0,0,0,27,0,0,0,56
"Ecuador",0,0,0,0,6,0,0,4,0,0
"Paraguay",0,14,4,0,0,0,0,0,6,0
"Peru",12,16,0,0,1,13,0,0,0,0
"Uruguay",7408,0,1597,2,0,0,535,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,5,0,0,0,0,0
