pigsTrade_1995.2004,Argentina,Bolivia,Brazil,Colombia,Ecuador,Peru,Uruguay,Venezuela
Argentina,1,1,1873,1,1,1,2776,1
Bolivia,1657,1,439,1,1,100,1,1
Brazil,1,1,1,1,1,1,1,1
Colombia,1,1,1,1,59,1,1,11412
Ecuador,1,1,1,5329,1,1270,1,1
Peru,1,1,1,1,1,1,1,1
Uruguay,1437,1,156,1,1,1,1,1
Venezuela,1,1,1,4304,1,1,1,1
